User_ID,Age,Gender,Location,Education,Occupation,Primary_App,Secondary_Apps,Usage_Frequency,Daily_Usage_Time,Reason_for_Using,Satisfaction,Challenges,Desired_Features,Preferred_Communication,Partner_Priorities,Multiple_Apps
1,20,Non-binary,Bangalore,Undergraduate,Freelancer,Hinge,Hinge,Monthly,1 hour,Finding a Partner,4,Safety Concerns,Audio Calls,Video Calls,Values > Personality > Appearance,Yes
2,24,Female,Delhi,Undergraduate,Part-time Job,Hinge,OkCupid,Weekly,30 minutes,Casual Dating,5,Time-Wasting,Video Calls,Text,Values > Personality > Appearance,Yes
3,24,Non-binary,Kolkata,Undergraduate,Intern,Unknown,Unknown,Weekly,2 hours,Casual Dating,4,Safety Concerns,Detailed Profiles,Text,Values > Personality > Appearance,Yes
4,22,Non-binary,Delhi,Graduate,Full-time Job,Unknown,OkCupid,Daily,30 minutes,Casual Fun,3,Unknown,AI Recommendations,Voice Notes,Personality > Interests > Values,Yes
5,18,Male,Delhi,Graduate,Intern,OkCupid,OkCupid,Weekly,2 hours,Casual Fun,4,Safety Concerns,Video Calls,Text,Appearance > Interests > Personality,Yes
6,23,Female,Mumbai,Undergraduate,Student,OkCupid,Unknown,Daily,1.5 hours,Casual Dating,2,Unknown,Audio Calls,Video Calls,Values > Personality > Appearance,Yes
7,22,Non-binary,Chennai,Postgraduate,Part-time Job,Tinder,Tinder,Monthly,30 minutes,Finding a Partner,4,Time-Wasting,Audio Calls,Text,Personality > Interests > Values,Yes
8,21,Female,Pune,Postgraduate,Freelancer,Hinge,Tinder,Weekly,1.5 hours,Finding a Partner,2,Safety Concerns,Audio Calls,Video Calls,Values > Personality > Appearance,Yes
9,20,Male,Pune,Postgraduate,Part-time Job,Hinge,OkCupid,Daily,2 hours,Finding a Partner,1,Lack of Genuine Matches,Audio Calls,Text,Values > Personality > Appearance,Yes
10,20,Non-binary,Chennai,Undergraduate,Intern,OkCupid,Bumble,Weekly,3 hours,Finding a Partner,1,Safety Concerns,Location-Based Matching,Video Calls,Values > Personality > Appearance,Yes
11,18,Female,Hyderabad,Postgraduate,Full-time Job,Tinder,Hinge,Daily,1 hour,Social Interaction,1,Unknown,Location-Based Matching,Voice Notes,Appearance > Interests > Personality,Yes
12,21,Male,Delhi,Undergraduate,Part-time Job,Unknown,Unknown,Monthly,3 hours,Finding a Partner,1,Unknown,Audio Calls,Voice Notes,Appearance > Interests > Personality,Yes
13,22,Male,Bangalore,Undergraduate,Student,Hinge,OkCupid,Monthly,1 hour,Casual Dating,3,Time-Wasting,Video Calls,Video Calls,Personality > Interests > Values,Yes
14,19,Non-binary,Bangalore,Undergraduate,Student,Hinge,Bumble,Daily,2 hours,Social Interaction,1,Unknown,AI Recommendations,Voice Notes,Personality > Interests > Values,Yes
15,22,Non-binary,Chennai,Graduate,Intern,Hinge,Unknown,Daily,1.5 hours,Casual Fun,1,Lack of Genuine Matches,Audio Calls,Voice Notes,Appearance > Interests > Personality,Yes
16,19,Female,Bangalore,Undergraduate,Freelancer,Hinge,OkCupid,Daily,1.5 hours,Casual Dating,5,Time-Wasting,Detailed Profiles,Text,Appearance > Interests > Personality,Yes
17,22,Non-binary,Hyderabad,Graduate,Part-time Job,Bumble,Tinder,Monthly,1 hour,Casual Fun,3,Lack of Genuine Matches,Location-Based Matching,Video Calls,Values > Personality > Appearance,Yes
18,19,Non-binary,Hyderabad,Graduate,Student,OkCupid,OkCupid,Monthly,1 hour,Finding a Partner,3,Safety Concerns,Detailed Profiles,Text,Personality > Interests > Values,Yes
19,24,Male,Hyderabad,Graduate,Intern,Unknown,Hinge,Daily,30 minutes,Casual Dating,2,Lack of Genuine Matches,AI Recommendations,Video Calls,Personality > Interests > Values,Yes
20,22,Non-binary,Pune,Undergraduate,Student,Hinge,Hinge,Weekly,1.5 hours,Finding a Partner,1,Time-Wasting,Video Calls,Voice Notes,Appearance > Interests > Personality,Yes
21,22,Male,Mumbai,Postgraduate,Freelancer,Hinge,Bumble,Weekly,3 hours,Social Interaction,1,Safety Concerns,AI Recommendations,Video Calls,Values > Personality > Appearance,Yes
22,25,Non-binary,Hyderabad,Undergraduate,Intern,Unknown,Unknown,Weekly,3 hours,Finding a Partner,5,Lack of Genuine Matches,AI Recommendations,Text,Appearance > Interests > Personality,Yes
23,20,Female,Pune,Graduate,Full-time Job,Hinge,OkCupid,Daily,3 hours,Finding a Partner,4,Safety Concerns,Audio Calls,Video Calls,Appearance > Interests > Personality,Yes
24,18,Male,Delhi,Graduate,Freelancer,Tinder,Bumble,Weekly,2 hours,Casual Dating,5,Time-Wasting,Detailed Profiles,Text,Appearance > Interests > Personality,Yes
25,24,Male,Bangalore,Postgraduate,Full-time Job,Unknown,Tinder,Daily,2 hours,Social Interaction,3,Time-Wasting,Location-Based Matching,Text,Values > Personality > Appearance,Yes
26,24,Male,Kolkata,Graduate,Full-time Job,Bumble,OkCupid,Weekly,3 hours,Social Interaction,2,Lack of Genuine Matches,Detailed Profiles,Voice Notes,Values > Personality > Appearance,Yes
27,21,Female,Delhi,Undergraduate,Student,Bumble,Tinder,Weekly,3 hours,Casual Dating,5,Lack of Genuine Matches,Location-Based Matching,Video Calls,Appearance > Interests > Personality,Yes
28,23,Male,Kolkata,Undergraduate,Part-time Job,Bumble,Unknown,Weekly,2 hours,Casual Fun,1,Time-Wasting,Location-Based Matching,Voice Notes,Appearance > Interests > Personality,Yes
29,19,Female,Chennai,Undergraduate,Student,OkCupid,OkCupid,Weekly,3 hours,Casual Dating,4,Lack of Genuine Matches,Detailed Profiles,Video Calls,Appearance > Interests > Personality,Yes
30,18,Male,Mumbai,Undergraduate,Freelancer,Tinder,Tinder,Daily,3 hours,Finding a Partner,4,Unknown,Location-Based Matching,Voice Notes,Personality > Interests > Values,Yes
31,24,Non-binary,Bangalore,Graduate,Full-time Job,Hinge,OkCupid,Weekly,30 minutes,Casual Dating,5,Unknown,Audio Calls,Voice Notes,Personality > Interests > Values,Yes
32,20,Male,Bangalore,Graduate,Full-time Job,Hinge,OkCupid,Monthly,1 hour,Finding a Partner,3,Time-Wasting,Detailed Profiles,Voice Notes,Values > Personality > Appearance,Yes
33,24,Female,Delhi,Graduate,Part-time Job,Unknown,OkCupid,Weekly,30 minutes,Casual Dating,3,Time-Wasting,Detailed Profiles,Text,Personality > Interests > Values,Yes
34,25,Male,Kolkata,Graduate,Full-time Job,Unknown,Hinge,Weekly,3 hours,Finding a Partner,5,Time-Wasting,Location-Based Matching,Voice Notes,Appearance > Interests > Personality,Yes
35,21,Female,Delhi,Graduate,Full-time Job,Bumble,OkCupid,Daily,2 hours,Casual Dating,3,Safety Concerns,Audio Calls,Voice Notes,Values > Personality > Appearance,Yes
36,22,Non-binary,Mumbai,Postgraduate,Part-time Job,Unknown,Hinge,Monthly,30 minutes,Finding a Partner,3,Lack of Genuine Matches,AI Recommendations,Text,Appearance > Interests > Personality,Yes
37,22,Female,Kolkata,Undergraduate,Intern,Bumble,Unknown,Monthly,1 hour,Finding a Partner,3,Safety Concerns,Video Calls,Voice Notes,Personality > Interests > Values,Yes
38,20,Female,Mumbai,Undergraduate,Full-time Job,Hinge,Tinder,Daily,1.5 hours,Finding a Partner,1,Lack of Genuine Matches,Audio Calls,Voice Notes,Appearance > Interests > Personality,Yes
39,21,Male,Delhi,Postgraduate,Full-time Job,Bumble,Tinder,Daily,1 hour,Casual Fun,1,Safety Concerns,Location-Based Matching,Voice Notes,Personality > Interests > Values,Yes
40,18,Male,Kolkata,Graduate,Intern,Tinder,Bumble,Weekly,1 hour,Social Interaction,5,Unknown,Audio Calls,Video Calls,Appearance > Interests > Personality,Yes
41,24,Male,Bangalore,Undergraduate,Student,Bumble,Tinder,Daily,1.5 hours,Finding a Partner,3,Time-Wasting,Video Calls,Video Calls,Values > Personality > Appearance,Yes
42,19,Female,Pune,Postgraduate,Part-time Job,Unknown,Tinder,Weekly,2 hours,Casual Dating,2,Safety Concerns,Detailed Profiles,Voice Notes,Values > Personality > Appearance,Yes
43,19,Female,Bangalore,Graduate,Part-time Job,OkCupid,OkCupid,Weekly,2 hours,Social Interaction,4,Unknown,Location-Based Matching,Voice Notes,Values > Personality > Appearance,Yes
44,23,Female,Delhi,Postgraduate,Freelancer,Tinder,Hinge,Weekly,2 hours,Casual Fun,5,Lack of Genuine Matches,Location-Based Matching,Video Calls,Personality > Interests > Values,Yes
45,21,Male,Delhi,Undergraduate,Student,Tinder,Unknown,Daily,1.5 hours,Casual Dating,2,Lack of Genuine Matches,AI Recommendations,Text,Values > Personality > Appearance,Yes
46,19,Female,Hyderabad,Graduate,Intern,Unknown,OkCupid,Weekly,2 hours,Casual Dating,5,Safety Concerns,Audio Calls,Video Calls,Values > Personality > Appearance,Yes
47,21,Male,Kolkata,Graduate,Intern,OkCupid,Hinge,Daily,1.5 hours,Finding a Partner,1,Unknown,Video Calls,Video Calls,Values > Personality > Appearance,Yes
48,24,Non-binary,Bangalore,Undergraduate,Full-time Job,Bumble,Unknown,Weekly,2 hours,Finding a Partner,2,Time-Wasting,Location-Based Matching,Voice Notes,Values > Personality > Appearance,Yes
49,21,Male,Bangalore,Postgraduate,Student,OkCupid,Unknown,Weekly,30 minutes,Casual Fun,3,Lack of Genuine Matches,Location-Based Matching,Voice Notes,Appearance > Interests > Personality,Yes
50,19,Male,Kolkata,Postgraduate,Full-time Job,Bumble,Unknown,Weekly,30 minutes,Casual Dating,2,Unknown,AI Recommendations,Voice Notes,Appearance > Interests > Personality,Yes
51,19,Female,Pune,Postgraduate,Freelancer,Bumble,Tinder,Monthly,1 hour,Social Interaction,5,Unknown,Video Calls,Voice Notes,Personality > Interests > Values,Yes
52,25,Non-binary,Delhi,Graduate,Part-time Job,Tinder,OkCupid,Daily,3 hours,Finding a Partner,2,Time-Wasting,Detailed Profiles,Video Calls,Appearance > Interests > Personality,Yes
53,25,Male,Mumbai,Graduate,Full-time Job,Bumble,Tinder,Daily,1.5 hours,Casual Fun,2,Lack of Genuine Matches,Location-Based Matching,Video Calls,Appearance > Interests > Personality,Yes
54,18,Male,Delhi,Postgraduate,Student,Hinge,OkCupid,Weekly,3 hours,Social Interaction,5,Safety Concerns,AI Recommendations,Video Calls,Appearance > Interests > Personality,Yes
55,22,Non-binary,Mumbai,Undergraduate,Freelancer,Hinge,OkCupid,Monthly,3 hours,Finding a Partner,3,Unknown,Location-Based Matching,Voice Notes,Values > Personality > Appearance,Yes
56,20,Non-binary,Mumbai,Undergraduate,Intern,Unknown,Hinge,Weekly,1.5 hours,Finding a Partner,5,Unknown,Video Calls,Video Calls,Appearance > Interests > Personality,Yes
57,23,Non-binary,Delhi,Postgraduate,Freelancer,Tinder,Bumble,Daily,1.5 hours,Social Interaction,3,Unknown,Location-Based Matching,Video Calls,Values > Personality > Appearance,Yes
58,19,Female,Mumbai,Postgraduate,Student,OkCupid,Unknown,Daily,2 hours,Casual Fun,3,Time-Wasting,Location-Based Matching,Video Calls,Personality > Interests > Values,Yes
59,19,Female,Pune,Postgraduate,Student,OkCupid,Bumble,Daily,3 hours,Casual Fun,5,Unknown,AI Recommendations,Voice Notes,Appearance > Interests > Personality,Yes
60,22,Male,Chennai,Undergraduate,Full-time Job,OkCupid,Bumble,Monthly,3 hours,Social Interaction,1,Time-Wasting,Video Calls,Video Calls,Values > Personality > Appearance,Yes
61,22,Non-binary,Bangalore,Undergraduate,Intern,OkCupid,Hinge,Weekly,30 minutes,Casual Dating,4,Safety Concerns,Detailed Profiles,Video Calls,Values > Personality > Appearance,Yes
62,24,Female,Bangalore,Postgraduate,Freelancer,Tinder,Hinge,Weekly,2 hours,Social Interaction,3,Unknown,AI Recommendations,Text,Personality > Interests > Values,Yes
63,21,Female,Chennai,Graduate,Part-time Job,OkCupid,Tinder,Daily,1.5 hours,Social Interaction,4,Time-Wasting,AI Recommendations,Text,Personality > Interests > Values,Yes
64,20,Female,Delhi,Postgraduate,Intern,Unknown,OkCupid,Monthly,1 hour,Finding a Partner,5,Time-Wasting,AI Recommendations,Voice Notes,Appearance > Interests > Personality,Yes
65,23,Male,Kolkata,Graduate,Intern,Hinge,Bumble,Weekly,2 hours,Casual Dating,4,Safety Concerns,Audio Calls,Video Calls,Personality > Interests > Values,Yes
66,22,Male,Chennai,Undergraduate,Part-time Job,Bumble,OkCupid,Monthly,1.5 hours,Social Interaction,5,Safety Concerns,Audio Calls,Video Calls,Values > Personality > Appearance,Yes
67,18,Female,Pune,Postgraduate,Intern,Unknown,Hinge,Daily,2 hours,Casual Fun,2,Safety Concerns,AI Recommendations,Text,Appearance > Interests > Personality,Yes
68,22,Male,Bangalore,Graduate,Full-time Job,OkCupid,Unknown,Daily,1 hour,Finding a Partner,1,Unknown,AI Recommendations,Voice Notes,Appearance > Interests > Personality,Yes
69,24,Female,Delhi,Graduate,Intern,Hinge,Bumble,Monthly,3 hours,Finding a Partner,4,Safety Concerns,Audio Calls,Text,Personality > Interests > Values,Yes
70,18,Male,Hyderabad,Postgraduate,Intern,Bumble,Tinder,Daily,3 hours,Casual Dating,2,Safety Concerns,Detailed Profiles,Text,Appearance > Interests > Personality,Yes
71,19,Male,Bangalore,Postgraduate,Part-time Job,Unknown,Hinge,Monthly,2 hours,Casual Dating,4,Safety Concerns,Video Calls,Voice Notes,Values > Personality > Appearance,Yes
72,19,Male,Kolkata,Graduate,Intern,Bumble,OkCupid,Daily,2 hours,Casual Fun,1,Unknown,Audio Calls,Text,Personality > Interests > Values,Yes
73,25,Non-binary,Delhi,Postgraduate,Part-time Job,Hinge,Hinge,Daily,3 hours,Finding a Partner,2,Safety Concerns,Audio Calls,Video Calls,Values > Personality > Appearance,Yes
74,25,Female,Bangalore,Graduate,Student,Unknown,OkCupid,Weekly,3 hours,Finding a Partner,4,Unknown,Video Calls,Video Calls,Appearance > Interests > Personality,Yes
75,19,Female,Chennai,Undergraduate,Intern,OkCupid,Unknown,Daily,30 minutes,Finding a Partner,2,Lack of Genuine Matches,AI Recommendations,Text,Personality > Interests > Values,Yes
76,22,Male,Chennai,Undergraduate,Full-time Job,Tinder,Hinge,Monthly,30 minutes,Finding a Partner,3,Lack of Genuine Matches,Location-Based Matching,Video Calls,Values > Personality > Appearance,Yes
77,23,Male,Mumbai,Postgraduate,Part-time Job,Unknown,Bumble,Weekly,1.5 hours,Casual Fun,4,Lack of Genuine Matches,Location-Based Matching,Voice Notes,Appearance > Interests > Personality,Yes
78,25,Non-binary,Delhi,Postgraduate,Full-time Job,Hinge,Unknown,Daily,1.5 hours,Casual Fun,1,Lack of Genuine Matches,Detailed Profiles,Text,Appearance > Interests > Personality,Yes
79,23,Female,Pune,Postgraduate,Student,OkCupid,Bumble,Monthly,1 hour,Casual Dating,5,Safety Concerns,Audio Calls,Voice Notes,Appearance > Interests > Personality,Yes
80,24,Male,Bangalore,Postgraduate,Freelancer,Hinge,Bumble,Monthly,30 minutes,Social Interaction,5,Time-Wasting,AI Recommendations,Text,Values > Personality > Appearance,Yes
81,18,Female,Delhi,Undergraduate,Freelancer,Unknown,OkCupid,Monthly,1 hour,Casual Fun,1,Unknown,Detailed Profiles,Video Calls,Appearance > Interests > Personality,Yes
82,18,Male,Chennai,Graduate,Freelancer,OkCupid,Bumble,Daily,1 hour,Social Interaction,2,Safety Concerns,Audio Calls,Voice Notes,Appearance > Interests > Personality,Yes
83,18,Male,Mumbai,Undergraduate,Intern,OkCupid,Bumble,Daily,2 hours,Social Interaction,1,Safety Concerns,Detailed Profiles,Text,Appearance > Interests > Personality,Yes
84,22,Non-binary,Hyderabad,Postgraduate,Part-time Job,Hinge,Tinder,Weekly,1.5 hours,Finding a Partner,1,Time-Wasting,Detailed Profiles,Video Calls,Appearance > Interests > Personality,Yes
85,18,Non-binary,Pune,Undergraduate,Intern,Bumble,Tinder,Weekly,2 hours,Social Interaction,1,Time-Wasting,Detailed Profiles,Video Calls,Appearance > Interests > Personality,Yes
86,20,Female,Delhi,Postgraduate,Student,Hinge,Unknown,Monthly,1 hour,Social Interaction,5,Time-Wasting,Detailed Profiles,Voice Notes,Values > Personality > Appearance,Yes
87,21,Non-binary,Pune,Graduate,Freelancer,Bumble,Hinge,Monthly,3 hours,Casual Dating,5,Time-Wasting,Audio Calls,Voice Notes,Values > Personality > Appearance,Yes
88,23,Male,Delhi,Graduate,Intern,Unknown,Unknown,Daily,1 hour,Social Interaction,2,Time-Wasting,Detailed Profiles,Voice Notes,Appearance > Interests > Personality,Yes
89,22,Non-binary,Hyderabad,Postgraduate,Full-time Job,Tinder,Hinge,Daily,3 hours,Finding a Partner,2,Lack of Genuine Matches,Location-Based Matching,Video Calls,Appearance > Interests > Personality,Yes
90,24,Male,Hyderabad,Graduate,Full-time Job,OkCupid,Hinge,Weekly,3 hours,Casual Fun,5,Unknown,AI Recommendations,Video Calls,Personality > Interests > Values,Yes
91,18,Female,Mumbai,Postgraduate,Intern,Tinder,OkCupid,Daily,2 hours,Social Interaction,4,Time-Wasting,AI Recommendations,Voice Notes,Appearance > Interests > Personality,Yes
92,21,Male,Hyderabad,Undergraduate,Full-time Job,Hinge,Tinder,Monthly,2 hours,Finding a Partner,1,Time-Wasting,AI Recommendations,Voice Notes,Values > Personality > Appearance,Yes
93,22,Non-binary,Pune,Graduate,Full-time Job,Tinder,OkCupid,Weekly,30 minutes,Casual Dating,2,Lack of Genuine Matches,Video Calls,Voice Notes,Values > Personality > Appearance,Yes
94,21,Non-binary,Chennai,Graduate,Part-time Job,OkCupid,Tinder,Monthly,3 hours,Casual Dating,3,Unknown,Detailed Profiles,Text,Values > Personality > Appearance,Yes
95,23,Female,Mumbai,Undergraduate,Full-time Job,OkCupid,Unknown,Monthly,3 hours,Social Interaction,2,Time-Wasting,Detailed Profiles,Video Calls,Appearance > Interests > Personality,Yes
96,20,Female,Delhi,Postgraduate,Student,OkCupid,Tinder,Daily,2 hours,Finding a Partner,4,Time-Wasting,Video Calls,Voice Notes,Personality > Interests > Values,Yes
97,23,Female,Delhi,Undergraduate,Part-time Job,Hinge,Bumble,Daily,1.5 hours,Finding a Partner,5,Time-Wasting,Video Calls,Voice Notes,Values > Personality > Appearance,Yes
98,22,Male,Chennai,Graduate,Part-time Job,OkCupid,Unknown,Daily,30 minutes,Finding a Partner,1,Lack of Genuine Matches,Location-Based Matching,Video Calls,Personality > Interests > Values,Yes
99,20,Male,Kolkata,Undergraduate,Freelancer,OkCupid,Hinge,Daily,1.5 hours,Casual Dating,2,Unknown,Detailed Profiles,Voice Notes,Personality > Interests > Values,Yes
100,20,Male,Hyderabad,Graduate,Part-time Job,OkCupid,OkCupid,Weekly,3 hours,Finding a Partner,3,Lack of Genuine Matches,Location-Based Matching,Video Calls,Personality > Interests > Values,Yes
101,19,Non-binary,Hyderabad,Undergraduate,Freelancer,Tinder,Bumble,Daily,1.5 hours,Casual Fun,4,Lack of Genuine Matches,Audio Calls,Text,Values > Personality > Appearance,Yes
102,19,Male,Kolkata,Graduate,Student,OkCupid,OkCupid,Weekly,3 hours,Finding a Partner,5,Time-Wasting,Video Calls,Video Calls,Appearance > Interests > Personality,Yes
103,25,Male,Delhi,Postgraduate,Part-time Job,OkCupid,Tinder,Monthly,30 minutes,Social Interaction,3,Safety Concerns,Location-Based Matching,Text,Appearance > Interests > Personality,Yes
104,20,Female,Chennai,Undergraduate,Freelancer,Hinge,OkCupid,Monthly,1 hour,Finding a Partner,4,Unknown,Video Calls,Voice Notes,Values > Personality > Appearance,Yes
105,25,Male,Delhi,Undergraduate,Student,Hinge,Bumble,Monthly,1.5 hours,Finding a Partner,4,Unknown,Location-Based Matching,Text,Appearance > Interests > Personality,Yes
106,25,Female,Delhi,Graduate,Freelancer,Tinder,Bumble,Weekly,2 hours,Casual Fun,3,Safety Concerns,Video Calls,Video Calls,Appearance > Interests > Personality,Yes
107,25,Male,Mumbai,Graduate,Intern,Tinder,OkCupid,Daily,30 minutes,Casual Fun,5,Safety Concerns,Location-Based Matching,Text,Appearance > Interests > Personality,Yes
108,21,Male,Kolkata,Undergraduate,Freelancer,OkCupid,Hinge,Daily,1.5 hours,Casual Dating,2,Unknown,Location-Based Matching,Video Calls,Personality > Interests > Values,Yes
109,18,Male,Bangalore,Undergraduate,Freelancer,OkCupid,Tinder,Monthly,2 hours,Social Interaction,1,Time-Wasting,Audio Calls,Video Calls,Personality > Interests > Values,Yes
110,25,Male,Bangalore,Graduate,Freelancer,Unknown,Tinder,Daily,2 hours,Casual Fun,2,Lack of Genuine Matches,Audio Calls,Video Calls,Personality > Interests > Values,Yes
